,f18_KOI_int,dr25_kepid,prot,Prot_adopted,prot_numflag,a18_period,m13_Prot,m15_Prot,w13_Per
1131,2002,10024701,10.07,a18,3.0,10.07,10.12,10.1,
1135,2007,11069176,15.03,a18,3.0,15.03,15.0,,18.73
1137,2009,2449431,21.32,a18,2.0,21.32,,73.07,
1138,2010,5631630,7.12,a18,2.0,7.12,,,
1139,2011,5384079,4.04,a18,2.0,4.04,3.88,3.9,
1141,2012,9839821,13.3,m15,3.0,,13.24,13.3,12.93
1143,2016,8492026,19.69,a18,2.0,19.69,,19.33,
1144,2017,8750043,12.04,a18,3.0,12.04,11.82,11.87,12.09
1145,2022,8564674,7.82,m15,3.0,,7.8,7.82,7.69
1147,2026,11923284,9.83,a18,3.0,9.83,9.75,9.72,9.35
1148,2029,9489524,16.06,a18,3.0,16.06,15.98,16.07,16.66
1152,2035,9790806,7.17,a18,3.0,7.17,7.04,7.06,3.6
1156,2038,8950568,23.85,a18,3.0,23.85,23.5,23.5,24.55
1160,2039,8804845,17.36,a18,3.0,17.36,17.42,17.29,17.84
1163,2043,3448130,12.08,a18,2.0,12.08,,11.38,
1164,2044,9656252,17.55,a18,3.0,17.55,17.6,17.58,
1166,2047,11457726,10.92,a18,2.0,10.92,10.71,10.63,
1168,2048,8956206,16.95,a18,3.0,16.95,16.89,16.73,16.29
1172,2053,2307415,10.24,a18,2.0,10.24,,9.84,
1174,2071,6035124,32.86,a18,2.0,32.86,,35.04,
1176,2073,8164257,36.02,m15,2.0,,,36.02,
1181,2079,9473078,33.06,a18,2.0,33.06,,58.13,26.74
1184,2082,9472000,15.37,a18,2.0,15.37,,13.69,
1189,2087,6922710,14.05,a18,3.0,14.05,13.87,13.76,
1196,2094,8505920,19.47,m15,3.0,,19.37,19.47,19.03
1200,2105,8165946,16.53,a18,2.0,16.53,,32.41,20.25
1201,2109,11499228,11.26,a18,2.0,11.26,10.98,11.13,11.36
1202,2110,11460462,4.39,a18,3.0,4.39,4.19,4.26,4.15
1203,2111,8612275,10.28,a18,3.0,10.28,10.25,10.19,9.35
1205,2115,9532052,10.77,a18,3.0,10.77,10.46,10.57,
1206,2119,4055304,18.35,a18,3.0,18.35,17.98,17.95,17.84
1207,2120,4857213,20.17,a18,3.0,20.17,19.88,19.94,
1208,2135,9904006,10.05,a18,2.0,10.05,,3.22,
1211,2137,9364609,23.92,a18,2.0,23.92,,13.21,
1212,2143,11403339,30.68,m15,2.0,15.47,,30.68,
1218,2149,10617017,7.49,m15,2.0,21.95,7.42,7.49,
1223,2159,8804455,19.78,a18,3.0,19.78,19.12,19.0,
1227,2167,6041734,10.66,m13,3.0,,10.66,,10.56
1232,2169,9006186,27.22,a18,3.0,27.22,27.63,27.58,13.88
1236,2173,11774991,15.41,a18,3.0,15.41,17.07,16.51,17.03
1238,2175,9022166,20.93,a18,2.0,20.93,,50.51,
1252,2202,4144576,26.76,m15,3.0,54.92,26.89,26.76,13.39
1253,2208,10531955,22.18,a18,2.0,22.18,,22.1,
1254,2218,12058204,26.74,a18,2.0,26.74,,26.4,30.55
1256,2219,5357545,42.53,a18,3.0,42.53,42.24,43.21,
1266,2250,5942808,24.02,a18,3.0,24.02,24.32,24.12,
1271,2261,3734418,11.51,a18,3.0,11.51,11.37,11.35,11.54
1272,2273,9717943,12.46,a18,3.0,12.46,12.57,12.55,
