,KOI_x,KIC,Kepler,Prot_flag,Prot_adopted,Prot_ANG18,Prot_MAZ15,Prot_D20,Prot_MCQ13,Prot_WAL13,KOI_y,Teff,E_Teff,e_Teff,[Fe/H],E_[Fe/H],e_[Fe/H],Ksmag,e_Ksmag,plx,e_plx,R,E_R,e_R,Miso,E_Miso,e_Miso,Riso,E_Riso,e_Riso,rhoiso,E_rhoiso,e_rhoiso,logAiso,E_logAiso,e_logAiso,plxspec,E_plxspec,e_plxspec,r8,RCF,KOI_strip
1491,2324,7746958,,m,,,,37.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,2325,7120108,,a,m15,,29.94,14.88,29.81,15.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,2327,10730703,,m,,,26.27,15.88,,34.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,2328,8007644,Kepler-1192,m,,,4.96,36.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,2329,11192235,,a,m15,,34.61,17.60,35.13,40.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,2331,12401863,Kepler-1193,m,,20.13,65.31,18.69,,,K02331,5851,60,60,0.09,0.04,0.04,12.065,0.026,1.271,0.016,1.381,0.038,0.037,1.066,0.044,0.033,1.374,0.019,0.019,0.41,0.02,0.02,9.85,0.06,0.09,1.286,0.148,0.165,1.007,1.0019,2331
1497,2332,5534941,,m,,2.25,76.00,36.32,,,K02332,5190,60,60,-0.05,0.04,0.04,11.171,0.019,1.481,0.017,1.923,0.053,0.051,0.976,0.02,0.022,1.912,0.028,0.022,0.14,0.01,0.01,10.04,0.03,0.03,1.399,0.148,0.249,1.002,1.0001,2332
1498,2333,11121752,Kepler-380,m,,22.02,15.52,16.70,,,K02333,6031,60,60,-0.16,0.04,0.04,12.289,0.024,1.253,0.021,1.247,0.036,0.035,0.99,0.028,0.028,1.242,0.023,0.022,0.51,0.03,0.03,9.86,0.06,0.07,1.393,0.131,0.167,1,,2333
1499,2335,2990873,Kepler-1194,m,,18.69,64.24,15.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,2337,5599774,Kepler-1195,m,,,5.06,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,2338,8099138,Kepler-1196,b,m15,,36.08,17.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,2339,7033233,,a,m15,,18.19,18.06,18.06,17.84,K02339,4762,60,60,0.17,0.04,0.04,12.814,0.029,2.078,0.027,0.673,0.021,0.021,0.762,0.011,0.014,0.702,0.007,0.005,2.19,0.06,0.07,9.11,0.49,0.53,1.85,0.05,0.059,1.008,,2339
1503,2340,8681734,Kepler-1198,m,,,73.43,36.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,2342,10212441,,m,,20.49,83.38,26.91,,,K02342,5843,60,60,-0.38,0.04,0.04,11.581,0.017,1.773,0.1,1.268,0.082,0.074,0.851,0.02,0.015,1.239,0.077,0.071,0.44,0.08,0.07,10.1,0.03,0.04,2.112,0.213,0.319,1.01,,2342
1505,2344,8247771,Kepler-1200,b,m15,,44.39,22.05,,22.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,2345,5629538,Kepler-1201,b,d20,,64.49,17.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,2346,8561231,Kepler-1202,b,m15,,20.51,20.92,20.53,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,2347,8235924,Kepler-1203,m,,,53.89,49.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,2348,6941084,Kepler-1204,m,,,4.04,12.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,2350,6200235,Kepler-1205,a,m15,,10.92,10.92,10.91,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,2351,1872821,,m,,,27.97,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,2352,8013439,,b,a18,10.24,,10.15,,,K02352,6346,60,60,-0.16,0.04,0.04,9.504,0.014,3.765,0.024,1.449,0.031,0.03,1.144,0.032,0.033,1.452,0.014,0.01,0.37,0.02,0.02,9.6,0.08,0.06,4.039,0.469,0.598,1,,2352
1513,2353,12505654,,m,,,33.91,15.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,2354,7215678,,a,m15,,13.84,14.55,13.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,2355,11670125,Kepler-1206,a,m15,,18.50,18.43,18.47,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,2356,11461844,Kepler-1207,b,m15,,17.11,15.85,17.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,2357,7449554,,m,,,48.91,17.52,,,K02357,5640,60,60,0.03,0.04,0.04,13.934,0.074,0.637,0.037,1.209,0.092,0.083,0.932,0.028,0.024,1.169,0.073,0.064,0.57,0.11,0.09,10.05,0.05,0.07,0.644,0.071,0.089,1.038,,2357
1518,2358,5716932,,b,m15,6.15,5.88,5.82,5.83,,K02358,6282,60,60,0.21,0.04,0.04,12.264,0.023,0.971,0.017,1.609,0.046,0.045,1.339,0.019,0.013,1.577,0.021,0.038,0.34,0.02,0.02,9.38,0.04,0.05,0.966,0.115,0.143,1,,2358
1519,2361,11566256,,b,m15,,20.07,18.80,20.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,2362,8495415,,m,,,,21.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2363,7987866,,m,,,63.45,31.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,2365,11560897,Kepler-430,m,,17.62,36.67,17.49,,,K02365,5936,60,60,0.2,0.04,0.04,12.391,0.029,1.114,0.019,1.345,0.041,0.039,1.152,0.027,0.037,1.339,0.025,0.027,0.48,0.03,0.03,9.67,0.08,0.08,1.066,0.132,0.16,1,,2365
1523,2366,11342416,Kepler-1209,b,a18,9.39,8.76,9.13,,,K02366,6150,60,60,0,0.04,0.04,11.239,0.026,2.003,0.03,1.248,0.034,0.034,1.112,0.028,0.03,1.244,0.02,0.02,0.58,0.04,0.03,9.58,0.09,0.11,2.119,0.159,0.255,1,,2366
1524,2367,9086251,,m,,10.25,7.72,11.10,11.22,,K02367,6065,60,60,0.16,0.04,0.04,11.29,0.013,1.715,0.021,1.436,0.035,0.034,1.205,0.021,0.027,1.43,0.014,0.021,0.41,0.01,0.02,9.59,0.06,0.06,1.637,0.221,0.268,1,,2367
1525,2368,10863608,Kepler-1210,m,,,12.03,32.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,2369,5602588,,m,,12.88,8.41,12.48,,,K02369,5787,60,60,0.1,0.04,0.04,14.318,0.067,0.571,0.036,1.113,0.087,0.078,1.021,0.035,0.033,1.078,0.071,0.059,0.8,0.16,0.14,9.74,0.14,0.27,0.476,0.054,0.063,1,1.0088,2369
1527,2370,5385304,,m,,20.61,,1.79,1.78,,K02370,6447,60,60,-0.13,0.04,0.04,11.805,0.02,1.456,0.022,1.316,0.034,0.033,1.158,0.02,0.029,1.29,0.02,0.023,0.54,0.03,0.03,9.44,0.08,0.08,1.584,0.1,0.125,1.184,,2370
1528,2371,11824786,Kepler-1212,b,m15,,7.27,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
