,KOI_x,KIC,Kepler,Prot_flag,Prot_adopted,Prot_ANG18,Prot_MAZ15,Prot_D20,Prot_MCQ13,Prot_WAL13,KOI_y,Teff,E_Teff,e_Teff,[Fe/H],E_[Fe/H],e_[Fe/H],Ksmag,e_Ksmag,plx,e_plx,R,E_R,e_R,Miso,E_Miso,e_Miso,Riso,E_Riso,e_Riso,rhoiso,E_rhoiso,e_rhoiso,logAiso,E_logAiso,e_logAiso,plxspec,E_plxspec,e_plxspec,r8,RCF,KOI_strip
2506,4591,5389956,,m,,,25.70,46.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,4595,12265786,,m,,,37.39,14.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,4597,10873178,,m,,,23.23,14.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,4601,11153476,,b,d20,,17.02,8.82,,,K04601,6218,60,60,0.22,0.04,0.04,12.434,0.021,1.059,0.015,1.362,0.036,0.035,1.253,0.032,0.017,1.344,0.025,0.031,0.51,0.05,0.02,9.36,0.06,0.24,1.075,0.072,0.179,1,,4601
2510,4602,6144039,,m,,,46.29,14.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,4603,8430053,,m,,18.07,81.70,8.93,,,K04603,6245,60,60,0.19,0.04,0.04,12.365,0.026,1.019,0.017,1.458,0.042,0.04,1.268,0.045,0.019,1.437,0.025,0.021,0.43,0.02,0.02,9.42,0.05,0.14,1.114,0.069,0.184,1.217,,4603
2512,4605,12458605,,m,,17.61,77.75,23.32,,,K04605,6096,60,60,0.04,0.04,0.04,12.109,0.029,0.818,0.014,2.071,0.061,0.059,1.282,0.115,0.034,2.044,0.033,0.037,0.15,0.02,0.01,9.59,0.04,0.14,0.857,0.102,0.124,1.034,1.0022,4605
2513,4613,10220837,,a,a18,26.47,24.84,24.53,,,K04613,5443,60,60,-0.13,0.04,0.04,12.261,0.023,2.053,0.013,0.814,0.021,0.02,0.857,0.032,0.031,0.813,0.009,0.007,1.58,0.1,0.09,9.61,0.25,0.6,2.014,0.077,0.11,1.007,,4613
2514,4614,7583650,,m,,26.81,27.70,11.38,,,K04614,6071,60,60,0.08,0.04,0.04,12.476,0.019,1.069,0.015,1.33,0.034,0.033,1.139,0.029,0.031,1.329,0.018,0.02,0.49,0.02,0.03,9.64,0.08,0.08,1.029,0.125,0.156,1,,4614
2515,4617,9701962,Kepler-1617,m,,1.10,48.32,40.92,,,K04617,5903,60,60,-0.12,0.04,0.04,12.323,0.015,1.137,0.016,1.368,0.035,0.034,0.979,0.026,0.026,1.363,0.02,0.02,0.39,0.02,0.02,9.95,0.05,0.05,1.233,0.139,0.169,1,,4617
2516,4622,11284772,,a,d20,,,21.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,4626,3539231,,m,,,123.60,22.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,4627,6311891,,m,,,54.78,19.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,4630,7834045,,b,m15,,11.11,10.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,4632,6070337,,m,,,4.80,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,4633,5954001,,b,a18,14.86,15.20,16.11,,,K04633,5984,60,60,0.1,0.04,0.04,12.307,0.022,0.982,0.015,1.595,0.044,0.043,1.196,0.029,0.063,1.571,0.027,0.024,0.3,0.02,0.02,9.68,0.1,0.06,1.02,0.122,0.129,1.003,,4633
2522,4634,8196226,,a,a18,16.97,16.61,8.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,4636,9773270,,m,,,70.76,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,4637,9457728,,a,a18,20.51,20.07,21.60,,,K04637,6284,60,60,-0.16,0.04,0.04,9.227,0.011,3.339,0.026,1.869,0.04,0.039,1.188,0.108,0.019,1.868,0.018,0.018,0.18,0.02,0.01,9.63,0.03,0.14,4.149,0.466,0.555,1.019,,4637
2525,4640,9412623,Kepler-1618,b,a18,11.42,,6.29,,,K04640,6430,60,60,-0.06,0.04,0.04,12.473,0.022,0.838,0.018,1.673,0.052,0.05,1.283,0.024,0.027,1.647,0.04,0.036,0.28,0.02,0.02,9.45,0.04,0.04,0.998,0.11,0.159,1.009,,4640
2526,4643,11655826,,a,m15,,15.35,15.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,4644,1721157,,a,m15,,11.86,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528,4647,9947653,,b,a18,43.64,53.14,19.85,,,K04647,5166,60,60,0.23,0.04,0.04,11.766,0.013,0.859,0.013,2.519,0.073,0.071,1.34,0.022,0.023,2.501,0.053,0.036,0.08,0,0,9.62,0.03,0.02,1.018,0.139,0.174,1,,4647
2529,4649,4750669,,a,m15,,21.14,20.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,4650,9824928,,b,m15,,34.94,33.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,4651,6717252,,a,a18,16.76,16.46,16.89,,,K04651,5715,60,60,0.04,0.04,0.04,12.128,0.018,1.835,0.02,0.945,0.024,0.023,0.984,0.031,0.03,0.938,0.012,0.01,1.19,0.05,0.07,9.43,0.25,0.39,1.824,0.084,0.106,1.086,1.0346,4651
2532,4653,11181260,,b,a18,8.43,45.14,9.05,,,K04653,6138,60,60,0,0.04,0.04,12.255,0.028,1.109,0.014,1.418,0.038,0.037,1.135,0.036,0.039,1.411,0.022,0.022,0.4,0.02,0.02,9.67,0.08,0.07,1.149,0.132,0.172,1.002,1.075,4653
2533,4655,2558163,,b,d20,,28.40,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,4656,8107611,,a,m15,,13.77,13.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,4657,6527078,,b,d20,29.63,77.22,17.05,,,K04657,5318,60,60,-0.05,0.04,0.04,11.424,0.019,2.741,0.02,0.907,0.023,0.023,0.834,0.019,0.013,0.903,0.007,0.007,1.13,0.05,0.03,10.08,0.04,0.08,2.986,0.142,0.155,1.047,1.0262,4657
2536,4659,2857607,,b,a18,24.22,23.94,12.12,,,K04659,5600,60,60,-0.03,0.04,0.04,12.12,0.023,1.941,0.017,0.908,0.023,0.023,0.922,0.036,0.033,0.901,0.01,0.009,1.26,0.08,0.07,9.66,0.19,0.33,1.906,0.104,0.155,1.007,1.0015,4659
2537,4661,5962262,,a,m15,,5.45,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,4663,7515336,,m,,,52.37,16.14,,,K04663,5545,60,60,0.3,0.04,0.04,11.093,0.014,1.44,0.02,1.961,0.053,0.051,1.2,0.016,0.017,1.947,0.029,0.031,0.16,0.01,0.01,9.8,0.02,0.02,1.484,0.198,0.231,1,,4663
2539,4666,11337012,,m,,,49.42,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,4667,8359569,,m,,,80.01,15.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,4668,8937762,,a,d20,,,22.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,4670,9837828,,a,m15,,11.86,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,4674,6839010,,m,,24.25,50.35,15.64,,,K04674,5700,60,60,0.2,0.04,0.04,12.026,0.013,1.542,0.014,1.178,0.028,0.027,1.029,0.03,0.03,1.169,0.013,0.012,0.64,0.03,0.03,9.87,0.08,0.09,1.473,0.158,0.2,1,,4674
2544,4676,4953173,,b,m15,,3.42,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,4680,4587135,,m,,,54.49,26.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,4685,3867794,,m,,,,18.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,4686,5819801,,b,a18,34.38,36.03,12.81,,,K04686,5698,60,60,0.33,0.04,0.04,10.674,0.018,1.757,0.024,1.943,0.052,0.051,1.233,0.109,0.019,1.904,0.034,0.03,0.18,0.02,0.01,9.75,0.03,0.14,1.81,0.233,0.29,1.002,,4686
2548,4691,9773980,,m,,,77.99,19.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,4692,10972902,,m,,,,37.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,4693,8417078,Kepler-1619,m,,20.86,27.20,21.68,,,K04693,5650,60,60,-0.27,0.04,0.04,11.858,0.024,1.385,0.015,1.429,0.038,0.037,0.874,0.014,0.011,1.421,0.016,0.019,0.31,0.01,0.01,10.12,0.02,0.02,1.98,0.196,0.749,1,,4693
2551,4694,9457948,,m,,,25.29,12.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,4698,10663738,,m,,,8.92,9.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2553,4699,7891294,,b,a18,10.56,10.40,11.03,,,K04699,6115,60,60,0.05,0.04,0.04,11.621,0.019,1.732,0.019,1.217,0.03,0.029,1.122,0.031,0.033,1.209,0.016,0.014,0.63,0.04,0.03,9.52,0.11,0.15,1.706,0.15,0.212,1.003,1.0021,4699
2554,4700,9413156,,m,,,12.87,18.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2555,4705,5642688,,m,,,38.82,16.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,4706,10026502,Kepler-1620,m,,40.22,108.26,40.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,4709,2303903,,m,,,53.95,16.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,4710,9278216,,m,,,76.18,21.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559,4711,8355131,,a,m15,,11.47,11.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,4713,5253802,,b,m15,,14.50,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,4714,12554634,,m,,,36.15,20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,4715,6264750,,b,a18,12.84,58.28,11.75,,,K04715,6150,60,60,-0.09,0.04,0.04,12.536,0.031,0.705,0.022,1.975,0.08,0.076,1.202,0.034,0.027,1.943,0.06,0.063,0.16,0.02,0.01,9.65,0.03,0.04,0.859,0.093,0.125,1,,4715
2563,4716,11290515,,b,m15,,14.87,14.01,,,K04716,6028,60,60,0.06,0.04,0.04,10.982,0.021,2.056,0.023,1.381,0.035,0.034,1.126,0.028,0.039,1.382,0.017,0.02,0.43,0.02,0.02,9.7,0.08,0.07,1.987,0.247,0.265,1,,4716
2564,4724,8395860,,m,,,,15.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2565,4725,7778621,,b,a18,26.86,42.21,20.22,,,K04725,4825,60,60,-0.03,0.04,0.04,11.192,0.02,4.039,0.014,0.724,0.02,0.019,0.751,0.032,0.023,0.727,0.003,0.005,1.95,0.11,0.07,9.84,0.21,0.63,4.013,0.117,0.128,1.007,,4725
2566,4730,8752940,,a,m15,,10.41,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,4733,9021075,,b,m15,,17.35,16.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,4735,11338056,,m,,,58.09,14.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,4737,7266212,,b,d20,,29.48,15.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2570,4742,4138008,Kepler-442,m,,,48.66,19.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,4743,6468904,,a,m15,,5.45,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,4744,5709906,,m,,23.03,52.88,24.22,,,K04744,5739,60,60,0.25,0.04,0.04,12.272,0.025,1.118,0.016,1.44,0.041,0.04,1.126,0.045,0.044,1.43,0.025,0.021,0.38,0.03,0.03,9.82,0.08,0.09,1.026,0.112,0.141,1,,4744
2573,4745,11757451,Kepler-443,m,,16.83,46.71,16.68,,,K04745,4781,60,60,0.02,0.04,0.04,13.815,0.045,1.271,0.035,0.697,0.03,0.029,0.752,0.021,0.023,0.714,0.012,0.012,2.06,0.11,0.12,9.67,0.32,0.48,1.208,0.033,0.038,1,,4745
2574,4747,8047428,Kepler-1621,m,,,73.51,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,4748,11513486,,a,m15,,17.23,17.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2576,4749,6520519,,m,,,71.55,38.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2577,4750,5308296,,m,,,4.77,14.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2578,4754,10291589,,m,,,43.35,17.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2579,4755,10118266,,a,m15,,19.22,18.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2580,4756,5695615,,m,,,19.16,19.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,4759,7949593,,m,,,67.34,19.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582,4762,7098255,,b,m15,,36.92,18.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2583,4763,8349399,,m,,12.69,32.02,11.55,,,K04763,5695,60,60,0.17,0.04,0.04,12.516,0.026,0.795,0.017,1.826,0.06,0.058,1.145,0.025,0.026,1.81,0.041,0.039,0.19,0.01,0.01,9.83,0.03,0.03,0.868,0.114,0.134,1,,4763
2584,4764,6043562,,m,,,70.10,19.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,4765,10615440,Kepler-1622,b,a18,8.75,8.51,8.47,,,K04765,6188,60,60,0.1,0.04,0.04,12.104,0.018,1.28,0.014,1.312,0.032,0.031,1.187,0.038,0.029,1.292,0.022,0.012,0.55,0.03,0.04,9.45,0.1,0.16,1.328,0.11,0.147,1.006,,4765
2586,4766,4919550,,m,,,44.58,14.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2587,4768,10221505,,m,,,46.42,17.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,4771,11658036,,m,,24.87,64.63,6.48,,,K04771,6287,60,60,-0.08,0.04,0.04,12.723,0.022,0.924,0.014,1.352,0.036,0.035,1.139,0.029,0.038,1.348,0.024,0.021,0.46,0.03,0.03,9.58,0.09,0.08,0.996,0.092,0.135,1,,4771
2589,4772,8397947,,a,m15,,3.19,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2590,4773,7906892,,b,a18,18.77,19.20,18.97,,,K04773,6191,60,60,-0.22,0.04,0.04,12.044,0.019,0.857,0.015,2.069,0.059,0.057,1.172,0.026,0.02,2.012,0.031,0.043,0.14,0.01,0.01,9.65,0.03,0.03,1.143,0.136,0.171,1,,4773
2591,4774,4277304,,b,a18,31.32,30.73,30.27,,,K04774,5222,60,60,-0.02,0.04,0.04,12.035,0.023,2.357,0.015,0.805,0.021,0.021,0.842,0.03,0.032,0.806,0.008,0.009,1.6,0.1,0.09,9.71,0.24,0.48,2.336,0.084,0.109,1.011,1.0022,4774
2592,4775,8626325,,m,,20.39,125.65,37.56,,,K04775,5210,60,60,0.47,0.04,0.04,11.07,0.018,1.404,0.018,2.112,0.059,0.057,1.229,0.013,0.013,2.094,0.029,0.032,0.13,0.01,0,9.81,0.02,0.02,1.415,0.199,0.263,1.001,1.0019,4775
2593,4776,8054719,,m,,,61.23,24.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,4777,6592335,,m,,,,43.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2595,4778,5651829,,m,,,,19.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2596,4780,3849187,,a,m15,,13.81,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,4782,8973285,,m,,,3.53,17.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2598,4790,8328916,,m,,,14.89,46.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,4792,11618569,,b,a18,16.41,16.13,7.96,,,K04792,5902,60,60,0.07,0.04,0.04,12.826,0.043,1.252,0.015,0.985,0.031,0.03,1.047,0.025,0.022,0.985,0.011,0.009,1.1,0.03,0.05,9.08,0.31,0.45,1.151,0.067,0.108,1.079,1.0564,4792
2600,4793,6220312,,m,,,43.03,24.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,4794,6358937,,m,,,30.35,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,4797,7771181,,a,m15,,13.08,13.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,4799,8278073,,b,m15,,41.56,20.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,4801,10810859,,m,,,41.88,18.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,4803,4473613,Kepler-1623,a,m15,,10.16,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,4804,10676750,,m,,,68.35,13.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,4807,9822284,,m,,,,39.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,4808,9419020,,m,,,,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2609,4810,4270799,,m,,,28.23,14.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,4811,8811490,,a,a18,17.94,16.59,16.44,,,K04811,5572,60,60,0.05,0.04,0.04,12.144,0.017,0.87,0.018,2.007,0.064,0.062,1.13,0.024,0.026,1.989,0.047,0.039,0.14,0.01,0.01,9.83,0.03,0.03,0.964,0.134,0.166,1.068,,4811
2611,4813,4840672,,a,d20,,,13.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,4815,7287677,,m,,,49.91,33.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2613,4818,9459162,,a,d20,,,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,4820,9969287,,m,,,42.20,46.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2615,4822,9702945,,m,,29.72,77.74,20.50,,,K04822,5788,60,60,-0.02,0.04,0.04,12.046,0.016,1.089,0.014,1.642,0.042,0.041,1.043,0.022,0.022,1.632,0.025,0.021,0.24,0.01,0.01,9.91,0.03,0.03,1.127,0.146,0.187,1,,4822
2616,4823,11401253,,a,m15,,16.29,16.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,4826,10549902,,m,,,4.92,14.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,4827,5651846,,m,,,48.32,14.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619,4829,12401132,,m,,,0.30,19.25,,,K04829,6002,60,60,-0.07,0.04,0.04,12.798,0.028,0.996,0.019,1.246,0.039,0.038,1.019,0.029,0.029,1.237,0.025,0.025,0.54,0.04,0.04,9.82,0.07,0.07,0.992,0.107,0.134,1,,4829
2620,4833,10584140,,m,,10.34,73.61,17.40,,,K04833,5747,60,60,0.02,0.04,0.04,12.098,0.023,1.174,0.015,1.497,0.04,0.039,1.012,0.025,0.024,1.482,0.022,0.022,0.31,0.02,0.02,9.97,0.04,0.04,1.284,0.153,0.186,1.074,,4833
2621,4834,8233326,,m,,,,36.91,,,K04834,5030,60,60,0.4,0.04,0.04,10.958,0.016,1.293,0.015,2.465,0.069,0.067,1.328,0.018,0.026,2.451,0.037,0.035,0.09,0,0,9.68,0.03,0.02,1.378,0.196,0.24,1,,4834
2622,4837,5645170,,m,,,54.87,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,4838,8216763,,a,m15,,35.21,35.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,4839,9110610,,m,,27.93,78.85,35.00,,,K04839,6108,60,60,-0.1,0.04,0.04,12.025,0.021,1.255,0.018,1.414,0.038,0.037,1.067,0.039,0.03,1.39,0.022,0.021,0.4,0.03,0.02,9.77,0.06,0.08,1.244,0.147,0.154,1,,4839
2625,4840,6665860,,m,,,84.06,13.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,4844,3098605,,a,d20,,,20.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,4846,8320630,,m,,,,32.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,4848,9005321,,m,,,40.21,20.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,4849,2976017,,m,,,48.40,18.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,4850,6786224,,b,a18,17.33,24.96,14.85,,,K04850,5571,60,60,0.05,0.04,0.04,12.533,0.023,1.565,0.017,0.931,0.025,0.024,0.941,0.037,0.035,0.925,0.011,0.012,1.19,0.09,0.07,9.68,0.19,0.31,1.507,0.096,0.144,1.02,,4850
2631,4852,11072016,,m,,,39.99,10.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,4853,3758922,,m,,,,20.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,4854,8360041,,b,m15,,32.33,16.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,4856,9782748,,m,,,,15.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,4857,2860656,,m,,,53.18,19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636,4859,7094944,,a,m15,,27.65,28.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,4861,6425597,,m,,,,14.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,4862,11973517,,b,m15,,36.35,15.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639,4864,7345248,,m,,27.74,67.03,46.63,,,K04864,5752,60,60,-0.21,0.04,0.04,11.659,0.023,0.939,0.014,2.301,0.065,0.063,1.153,0.025,0.016,2.274,0.04,0.033,0.1,0,0,9.7,0.02,0.02,1.167,0.164,0.208,1,,4864
2640,4871,6767227,,m,,,81.33,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2641,4875,2986833,,a,m15,,30.30,30.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,4877,9581589,,m,,,29.16,24.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643,4878,11804437,,m,,,,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,4881,8094120,,m,,16.01,,14.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,4885,9935642,,a,m15,,25.09,24.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,4886,7692248,,m,,,12.83,14.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,4890,6691169,,m,,,37.98,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,4891,10747501,,m,,,33.77,19.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,4892,10586744,,m,,,51.84,19.43,,,K04892,5552,60,60,-0.36,0.04,0.04,12.577,0.028,0.587,0.014,2.455,0.086,0.083,1.123,0.025,0.027,2.438,0.06,0.054,0.08,0,0,9.71,0.03,0.03,0.738,0.091,0.136,1,,4892
2650,4893,11970050,,a,m15,,14.73,14.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2651,4895,12416597,,a,m15,,21.93,21.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,4896,11135694,,m,,,75.18,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,4898,10065053,,m,,,,21.64,,,K04898,5810,60,60,-0.12,0.04,0.04,14.138,0.058,0.528,0.033,1.305,0.098,0.088,0.935,0.028,0.028,1.265,0.082,0.073,0.45,0.09,0.07,10.02,0.05,0.05,0.564,0.062,0.078,1,,4898
2654,4900,6424561,,m,,,61.98,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,4902,10000162,,m,,,,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,4904,8803757,,m,,,57.56,14.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2657,4906,9479306,,m,,,,16.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,4907,5437762,,m,,16.81,23.26,17.47,,,K04907,5933,60,60,0.04,0.04,0.04,12.383,0.025,1.235,0.017,1.222,0.034,0.033,1.043,0.031,0.03,1.213,0.019,0.019,0.58,0.04,0.03,9.78,0.08,0.09,1.188,0.135,0.16,1,,4907
2659,4912,5208962,,m,,,4.78,21.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,4913,5769810,,b,m15,,3.31,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,4914,12071754,,m,,,39.27,12.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,4923,1429589,,b,d20,,72.95,12.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2663,4926,1865864,,a,m15,,21.58,21.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,4928,1873513,Kepler-1624,m,,,,33.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,4938,2310993,,m,,,0.94,20.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,4957,2861126,,a,d20,,,16.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,4958,2861298,,m,,,67.65,33.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,4960,2992634,,b,d20,,9.91,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,4961,3001955,,m,,33.50,46.24,35.59,,,K04961,4826,60,60,0.25,0.04,0.04,12.959,,1.71,0.032,0.766,0.025,0.024,0.824,0.017,0.024,0.767,0.012,0.011,1.82,0.1,0.11,9.61,0.31,0.51,1.645,0.052,0.052,1.11,,4961
2670,4963,3101178,,m,,,,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,4967,3239171,,m,,,73.00,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,4972,3340165,,b,d20,,58.82,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,4976,3356156,,m,,,,33.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2674,4977,3425363,,m,,,38.84,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
